,orderType,bzpNumber,isTenderAmountBelowEU,orderObject,cpvCode,htmlBody,contractors
0,Services,2023/BZP 00000008,True,„Przewóz dzieci przedszkolnych i uczniów szkół podstawowych wraz z opiekunami na zajęcia sportowe do Hali Sportowej oraz zajęcia nauki pływania do Parku Wodnego w Tarnowskich Górach w roku 2023”,60100000-9 (Usługi w zakresie transportu drogowego),"{'4.3.)': 431252.33, '4.3.1)': 399307.71, '4.5.5.)': 48159.36, '6.2.)': 73440.0, '6.3.)': 74196.0, '6.4.)': 73440.0, '8.2.)': 73440.0}",2
1,Services,2023/BZP 00000010,True,"Usługi restauracyjne na rzecz uczniów Szkoły Podstawowej im. Wandy Chotomskiej w Kiełczowie w 2023 roku.
CPV 55.52.31.00-3, 55.52.40.00-9, 55.52.00.00-1, 55.52.12.00-0.","55523100-3 (Usługi w zakresie posiłków szkolnych),55524000-9 (Usługi dostarczania posiłków do szkół),55520000-1 (Usługi dostarczania posiłków),55521200-0 (Usługi dowożenia posiłków)","{'6.2.)': 1210100.0, '6.3.)': 1383400.0, '6.4.)': 1103710.0, '8.2.)': 1103710.0}",1
2,Services,2023/BZP 00000022,True,"Zimowe utrzymanie obiektów drogowych: chodników, ciągów i kładek pieszych, schodów, przejść dla pieszych, azyli, parkingów, placów, tuneli w miesiącu: styczeń i luty",90620000-9 (Usługi odśnieżania),"{'4.3.)': 438662.19, '8.2.)': 703677.89}",1
3,Works,2023/BZP 00000031,True,"Remont 5 lokali mieszkalnych zasobu Gminy Miejskiej Kraków, w podziale na 5 części.","45453000-7 (Roboty remontowe i renowacyjne),45330000-9 (Roboty instalacyjne wodno-kanalizacyjne i sanitarne),45310000-3 (Roboty instalacyjne elektryczne),45333000-0 (Roboty instalacyjne gazowe)","{'4.3.)': 7407407.41, '4.3.1)': 238562.68, '4.5.5.)': 38268.11, '6.2.)': 37631.37, '6.3.)': 40594.45, '6.4.)': 37631.37, '8.2.)': 37631.37}",5
4,Services,2023/BZP 00000037,True,Świadczenie usług utrzymania czystości.,"90919200-4 (Usługi sprzątania biur),90919100-3 (Usługi czyszczenia urządzeń biurowych)","{'4.3.)': 229952.0, '4.5.5.)': 109584.0, '6.2.)': 108999.72, '6.3.)': 172188.0, '6.4.)': 108999.72, '8.2.)': 108999.72}",1
5,Works,2023/BZP 00000038,True,Przebudowa drogi nr 1601L w miejscowości Milanów,"45233140-2 (Roboty drogowe),45233220-7 (Roboty w zakresie nawierzchni dróg),45233150-5 (Roboty w zakresie regulacji ruchu)","{'6.2.)': 1987207.68, '6.3.)': 2124273.71, '6.4.)': 1987207.68, '8.2.)': 1987207.68}",1
6,Delivery,2023/BZP 00000045,True,Dostawa materiałów biurowych dla Urzędu Miejskiego  w  Elblągu na rok 2023.,30190000-7 (Różny sprzęt i artykuły biurowe),"{'4.3.)': 175181.73, '6.2.)': 188417.3, '6.3.)': 225686.71, '6.4.)': 188417.3, '8.2.)': 188417.3}",1
7,Services,2023/BZP 00000047,True,Ubezpieczenie odpowiedzialności za szkody w środowisku.,"66510000-8 (Usługi ubezpieczeniowe),66516000-0 (Usługi ubezpieczenia od odpowiedzialności cywilnej)",{},1
9,Works,2023/BZP 00000053,True,Przebudowa odcinka ul. Jałowcowej w Tomaszowie Mazowieckim w systemie projektuj i buduj.,"45233120-6 (Roboty w zakresie budowy dróg),45233252-0 (Roboty w zakresie nawierzchni ulic),71322000-1 (Usługi inżynierii projektowej w zakresie inżynierii lądowej i wodnej)","{'4.3.)': 431050.0, '6.2.)': 504870.0, '6.3.)': 734904.09, '6.4.)': 504870.0, '8.2.)': 504870.0}",1
10,Delivery,2023/BZP 00000064,True,"Sukcesywna dostawa artykułów spożywczych (warzyw, owoców i jaj) dla statku Nawigator XXI","15300000-1 (Owoce, warzywa i podobne produkty),03142500-3 (Jaja)","{'4.3.1)': 75000.0, '6.2.)': 84615.39, '6.3.)': 106730.3, '6.4.)': 84615.39, '8.2.)': 84615.39}",1
